title,heading,content,tokens,summary
What is Choreo?,What is Choreo?,"Today, with the growth of the global API ecosystem, APIs have become an essential part of modern engineering. Therefore, it has become necessary for organizations to participate in this global API supply chain by consuming and producing APIs. The adoption of cloud and microservices-based distributed architecture has also become increasingly significant, causing more and more organizations to rapidly evolve and look for innovative ways to build their digital business ecosystem. This has led to the need for a state-of-the-art iPaaS that can address the complex challenges that organizations face when connecting applications, systems, and data to build integrations and expose those integrated services to internal and external consumers in a future-proof manner. Choreo, a versatile and comprehensive platform for low-code, cloud-native engineering, provides the following advantages:
- An AI-assisted, low-code application development environment that can help developers build enterprise-class integrations faster while ensuring best practices and secure coding guidelines. 
- Developers can switch between a visual low-code and typical code environment and select the experience that best supports a given situation.
- Even without expert-level coding skills, Choreo's low-code environment empowers developers to build applications with ease. It also provides capabilities to collaborate and improve these applications as needed.
- Its low-code application development platform auto-generates editable and version-controlled code and maintains it in GitHub. This makes it possible to apply the engineering rigor required for enterprise applications on low-code.
- API management capabilities to develop APIs and get them to production. Choreo’s API Publisher Portal allows API developers to design, publish, and manage the lifecycle of APIs whereas the API Developer Portal allows consumers to consume APIs.
- Realistic DevOps with versions, environments, CI/CD pipelines, and automation tests.
- Deep observability to trace your executions from the code statement level to the machine on which those run.",396,"Title: What is Choreo?
Heading: What is Choreo?
Keywords: Global API, Cloud, Microservices, iPaaS, Low-code, AI-assisted, Enterprise-class, GitHub, API management, DevOps, Observability

The text discusses the increasing importance of APIs in modern engineering due to the growth of the global API ecosystem. Organizations need a state-of-the-art iPaaS to connect applications, systems, and data and provide integrated services to internal and external consumers. Choreo is a low-code, cloud-native engineering platform that provides AI-assisted low-code application development, API management capabilities, DevOps, and deep observability. It enables developers to rapidly build enterprise-class integrations and APIs with ease, and maintain them in GitHub."
Quick Start Guide,Quick Start Guide,"Choreo is a cloud-native low-code engineering platform that allows you to create APIs, API Proxies, triggers, and scheduled tasks to implement your integration solution. 
!!! tip
        Take a look at the Choreo playlist(https://youtube.com/playlist?list=PLdjnDnxI3SA85otCxxvyGBJp5Bc19NpaS) for video tutorials that guide you through the steps to create, publish, deploy, consume, and observe your APIs. 
This quick start guide walks you through the steps to create, develop, publish, deploy, and invoke a REST API using Choreo.",147,"Title: Quick Start Guide
Heading: Quick Start Guide
Keywords: cloud-native, low-code, engineering platform, API, API Proxies, triggers, scheduled tasks, integration solution, video tutorials, create, publish, deploy, consume, observe, REST API.

Choreo is a cloud-native low-code engineering platform that enables users to create, publish, deploy, consume, and observe APIs, API Proxies, triggers, and scheduled tasks for integration solutions. An accompanying playlist of video tutorials is available to guide users through the process. This quick start guide provides a detailed walkthrough of the steps to create, develop, publish, deploy, and invoke a REST API using Choreo."
Quick Start Guide,Create your first REST API,"### Step 1: Create a REST API
1. Sign in to the Choreo Console at https://console.choreo.dev. You will view the **Home** page.
2. In the **Create from a Sample** section, click **Echo Service**. Choreo starts creating an API using the template in this sample. Once Choreo completes adding the API, you can see the overview of this API.
 
### Step 2: Deploy the REST API 
Choreo maintains two environments by default: development and production. Let's deploy the API to the development environment.
1. Click **Deploy** in the left navigation menu. 
2. Go to the **Build Area** card and click **Build and Deploy**. This deploys the API to the development environment to make it invokable. 

### Step 3: Test the REST API 
To test the REST API, follow these sub-steps:
1. Click **Test** in the left pane.
2. Expand the **POST** method with the **/** resource path. 
3. Click **Try it out**.
4. Add a meaningful string as the request body. For example, `Welcome to Choreo`.
5. Click **Execute**. You'll see the string you entered in step 4 above returned as the server response.",288,"Title: Quick Start Guide
Heading: Create your first REST API
Keywords: Choreo Console, Echo Service, Create from Sample, Deploy, Build and Deploy, Test, POST method, Try it out, Execute.

Summary: This text provides instructions for creating a REST API using the Choreo Console. It begins by signing in to the Choreo Console and selecting the Echo Service from the Create from a Sample section. This deploys the API to the development environment, which can be tested by sending a meaningful string as the request body. The response will be the same string."
Quick Start Guide,Implement the business logic,"Developing an API involves writing the business logic for it. APIs often need to integrate with third-party systems to create a comprehensive integration solution. With Choreo, you can create your integration solution easily by implementing the business logic using its low-code editor, pro-code editor, or both.

### Step 1: Develop in low-code
Follow this procedure to further develop the API by adding a new resource and simple business logic:
1. Click **Overview** in the left navigation menu.
2. Click **Edit Code**. 
    !!! info
        The Web Editor can take some time to open if you are a first-time user.
3. Click **+** below the low-code diagram to add a new resource and configure it as follows: 
**HTTP Method** | `GET`
**Resource Path** | `personalizedMessage`
**Return Type** | `string | error`
4. Click **+ Add Parameter** to add a query parameter.  Enter the following values to get a name as input:
**Type** | `string` 
**Param Name** | `name`
5. Click **Save** to save the query parameter, and then click **Save** again to save the resource.
6. In the low-code diagram, click **+** after **Start**. In the **Add Constructs** pane, click **Variable**.
7. Update the given variable statement syntax (i.e., **`var variable = <add-expression>`**) to generate a personalized message by following these steps:
    1. To generate the message in string format, click **`var`**, and click **string**.
    2. Double-click **`variable`** which is the default variable name to edit it. Enter `message` as the new variable name.
    3. To generate the personalized message, double-click **`<add-expression>`** and enter the following expression:
        ```
         ""Hello ""+ name
        ```
        Now the variable statement is updated as follows:
        ```
        string message = ""Hello ""+ name;
        ```
8. Click **Save**.
9. To return the personalized message, click **+** below the variable you created and click **Return**. In the **Return** pane, the return statement syntax is displayed as **`return <add-expression>`**. Click **`<add-expression`**, and click **message** in the list of suggestions that appear below the return statement syntax.   
10. Click **Save**.
!!!info
    You can click the **</>** icon on the top left corner of the editor if you want to work in the code view. Depending on your expertise, you can work in the low-code view or the pro-code view. You can also work on both views simultaneously.

### Step 2: Run and test the REST API
1. Click the menu icon for the listener construct and then click **Run**.
    A terminal opens with logs that indicate the status of the REST API. If you updated the REST API as instructed above, you will see the following log:
    ```
    Running executable
    ```
2. To invoke the REST API, click the menu icon for the listener construct and then click **Try it**. This opens the Swagger view with details of your REST API.
3. Expand the GET resource and click **Try it out**.
4. In the **name** field, enter any value (for example, `Alice`).
5. Click **Execute**. The Swagger view displays the response under **Response Body**.

### Step 3: Commit changes to GitHub
Choreo maintains source code in a private GitHub repository. When you create a component, Choreo creates it in the private GitHub repository associated with your account. Therefore, you must commit and push your changes if you want to change the API Implementation.
Follow this procedure to commit and push your changes to GitHub.
1. On the bottom bar of the editor, click **Sync with Choreo upstream**. Alternatively, you can click source control on the left pane or click **Sync changes with Choreo** in the pop-up displayed at the bottom right corner. 
2. Click **Sync my changes with Choreo** in the window displayed. 
3. Enter a meaningful commit message and click **✓** on the toolbar. This commits the changes to the locally cloned copy of your private GitHub repository. Select Yes in the message that appears to specify that you need the changes to be staged.
4. On the top toolbar, click **...** and then click **Push**. Click **OK** in the message that appears to confirm that you want to push the changes. This pushes the local changes to your private GitHub repository.
",1111,"Title: Quick Start Guide
Heading: Implement the business logic
Keywords: API, business logic, integration solution, low-code editor, pro-code editor, resource, HTTP method, query parameter, variable, string, error, personalized message, Swagger view, commit, push.

Summary: Choreo is a low-code and pro-code editor to develop integration solutions for APIs by writing the business logic. A personalized message can be generated by adding a new resource, query parameter and variable. The API can be tested using the Swagger view and changes can be committed and pushed to the private GitHub repository associated with the account."
Quick Start Guide,Manage your REST API,"Choreo provides full API management capabilities so that you can manage your REST API lifecycle, apply security, apply rate-limiting policies, configure usage plans, and add documentation.

### Step 1: Publish the API
Follow this procedure to publish the API to the API Developer Portal so that external consumers can view and consume the API:
1. Click **Manage** in the left pane.
2. On the **Lifecycle Management** page, click **Publish**.
3. Click **Go to Devportal**. You will see the published API.

### Step 2: Invoke the API 
Follow this procedure to invoke the REST API via the API Developer Portal:
1. Click **Credentials** in the left pane of the API Developer Portal.
2. Click **Generate Credentials**. Choreo creates credentials for an internal application and subscribes this API to that internal application.
3. Click **Generate Access Token**, copy the generated access token, and click **Close**.
4. Click **Try Out** in the left pane. 
5. Paste the copied access token in the **Access Token** field.
6. Click the `GET` resource you added to expand it.
7. Click **Try it out** and enter a name for the query parameter.
8. Click **Execute**. You'll see the personalized message as the response from the API.",306,"Title: Quick Start Guide
Heading: Manage your REST API
Keywords: API Management, REST API, Lifecycle Management, Publish, Invoke, Access Token, Query Parameter.

Summary: Choreo provides API Management capabilities to manage the lifecycle of a REST API, apply security and rate limiting policies, configure usage plans, and add documentation. To publish the API to the API Developer Portal, users need to click Manage and Publish on the Lifecycle Management page. To invoke the REST API, users need to generate credentials, generate an access token, and enter a query parameter before executing the request."
Get Started with Choreo,Get Started with Choreo,"Choreo is a full lifecycle cloud-native developer platform that enables your developers to create, deploy, and run new digital components like APIs, microservices, and automations in serverless mode on any Kubernetes cluster.
This guide walks you through the following:
- Developing, deploying, testing, and publishing a REST API.
- Consuming the published REST API via an external application.
- Releasing a new version of the REST API with added functionality.
Let's consider a use case where a web application developer designs an application that allows you to maintain reading lists. A user can create a private reading list by adding books. The user can also view and delete them when required. A Choreo developer develops a REST API for this web application to consume. The two developers will create two versions of the solution in two iterations. The second version of the application will add data persistence as a new feature.
",192,"Title: Get Started with Choreo
Heading: Get Started with Choreo
Keywords: Choreo, cloud-native, developers, digital components, APIs, microservices, automations, serverless, Kubernetes cluster, REST API, web application, reading lists, data persistence.

This guide explains how to create, deploy, and run a REST API using Choreo, a cloud-native developer platform, on any Kubernetes cluster. It also explains how to consume the published REST API via an external application, and how to release a new version of the REST API with added functionality. A use case is provided where a web application developer designs an application that allows users to maintain reading lists, and a Choreo developer develops a REST API for this web application to consume, with two versions of the solution in two iterations, adding data persistence as a new feature in the second version."
Get Started with Choreo,Prerequisites,"Before you try out this guide, complete the following:
1. Create a GitHub repository to save the REST API implementation. For this guide, you can fork https://github.com/wso2/choreo-examples/tree/version-1.
2. If you are logging in to Choreo Console for the first time, create an organization as follows:
    1. In https://wso2.com/choreo/ click **Try Choreo Now**.
    2. Sign in to Choreo using your Google, GitHub, or Microsoft account.
    3. Enter a unique organization name. For example, `Stark Industries`.
    4. Read and accept the privacy policy and terms of use before you proceed.
    5. Click **Create** to add the new organization.
    You will be viewing the **Home** page of the Choreo Console.
3. Create a new project as follows:
    1. On the **Home** page of the Choreo Console, click **+ Create Project**.
    2. Enter a unique name and a description for the project, and click **Create**.",264,"Title: Get Started with Choreo
Heading: Prerequisites
3. You will be viewing the project's **Overview** page.

Keywords: GitHub repository, Choreo Console, Try Choreo Now, unique organization name, privacy policy, terms of use, Create Project, unique name, description.

This text provides a guide on how to set up and create a project in the Choreo Console. The first step is to create a GitHub repository for the REST API implementation. Then, if logging into Choreo Console for the first time, the user should create an organization by entering a unique name, reading and accepting the privacy policy and terms of use, and clicking ""Create"". Lastly, the user should create a new project by entering a unique name and description and clicking ""Create""."
Get Started with Choreo,Create and publish a REST API,"In this step, you are playing the role of the API developer. You will create and publish the REST API that the web application needs to consume.",30,"Title: Get Started with Choreo
Heading: Create and publish a REST API
Keywords: REST API, developer, create, publish

This step involves the creation and publication of a REST API by the API developer, so that the web application can consume it."
Get Started with Choreo," ""Create and publish a REST API - Step 1.1: Create the REST API""","Let's create your first REST API.
1. On the **Home** page, click on the project you created.
2. Click **Create** in the  REST API card.
3. Enter a unique name and a description for the API. For example, you can enter the name and the description given below:
**Name**        | `readingList
**Description** | `Manages reading lists`
4. In the **Access Mode** field, leave the default selection (i.e., **External: API is publicly accessible**) unchanged so that users outside your organization can access your API.
5. Click **Next**.
6. To allow Choreo to connect to your GitHub account, click **Authorize with GitHub**.
7. If you have not already connected your GitHub repository to Choreo, enter your GitHub credentials, and select the private repository you created by forking https://github.com/wso2/choreo-examples/tree/version-1 to install the Choreo GitHub App (https://github.com/marketplace/choreo-apps).
    !!! info
         The **Choreo GitHub App** requires the following permissions:
         - Read and write access to code and pull requests.
         - Read access to issues and metadata.
         You can revoke access (https://docs.github.com/en/authentication/keeping-your-account-and-data-secure/reviewing-your-authorized-integrations#reviewing-your-authorized-github-apps) if you do not want Choreo to have access to your GitHub account. However, write access is only used to send pull requests to a user repository. Choreo will not directly push any changes to a repository.
8. In the **Connect Repository** dialog box, enter the following information:
**GitHub Account**    | Your account
**GitHub Repository** | `**choreo-examples**`
**Branch**            | `**version-1**`
**Build Preset**      | Click **Ballerina** because you are creating the REST API from a Ballerina (https://ballerina.io/) project and Choreo needs to run a Ballerina build to build it.
**Path**              | `**reading-list-service**`
9. Click **Create** to initialize a REST API with the implementation from your GitHub repository. Your GitHub account opens on a web page displaying a pull request similar to the following:
10. Click **View Pull Request**.
11. Review and click **Merge pull request**, and then click **Confirm Merge**. When you merge the pull request, it adds the necessary metadata files to connect your GitHub repository to Choreo so that you can proceed to create the component.",672,"Title: Get Started with Choreo
Heading:  ""Create and publish a REST API - Step 1.1: Create the REST API""
Keywords: REST API, Home page, Create, Unique name, Description, Access Mode, GitHub account, Choreo GitHub App, Connect Repository, Ballerina, Build Preset, Path, Pull Request, Merge Pull Request.

This text provides instructions on how to create a REST API with a Ballerina project from a forked GitHub repository. It explains how to click on the project on the Home page, enter a name and description for the API, leave the default selection in the Access Mode field, authorize with GitHub, enter GitHub account and repository details, and create the API. It also explains how to view and merge the pull request to add necessary metadata files to connect the GitHub repository to Choreo."
Get Started with Choreo,Create and publish a REST API - Step 1.2: Deploy the REST API,"For the REST API to be invokable, you need to deploy it. To deploy the REST API, follow the steps given below:
1. Navigate to the Choreo Console. You will be viewing an overview of the `readingList` REST API.
2. In the left pane, click **Deploy**, and then click **Configure & Deploy**.
    !!! info
        Automatic deployment is enabled for the REST API by default. You are required to carry out only the first deployment manually. When automatic deployment is enabled, your REST API is automatically deployed every time you push a commit to the GitHub repository in which its implementation resides. You can disable automatic deployment if required.
3. In the **Configure & Deploy** pane, click **Deploy** without entering a sandbox endpoint. 
    !!! info
        In this example, you are testing the REST API only in the Choreo Console and not in a sandbox environment. Therefore, you do not need to enter a sandbox endpoint.
    This deploys the API to the development environment.",241,"Title: Get Started with Choreo
Heading: Create and publish a REST API - Step 1.2: Deploy the REST API
Keywords: REST API, Choreo Console, Deploy, Configure & Deploy, Automatic deployment, GitHub repository, Sandbox environment, Development environment.

Summary: This text outlines the steps for deploying a REST API to a development environment using the Choreo Console. Automatic deployment is enabled by default, pushing any commits made to the GitHub repository to the API. It also explains how to configure and deploy the API without entering a sandbox endpoint."
