title,heading,content,source,tokens,id
Configure Developer Portal Self-Sign-Up,Configure Developer Portal Self-Sign-Up,Choreo allows you to configure self-sign-up to enable users to access your Developer Portal via a self-sign-up page.This page walks you through the steps to configure self-sign-up to the Developer Portal.,https://wso2.com/choreo/docs/administer/configure-developer-portal-self-sign-up/,48,D0
Manage Applications,Step 2: Generate keys - Access token for production - part 1,"Depending on your use case, you can generate an access token using one of the two grant types available in Choreo: Client Credentials and Token Exchange.!!! note We recommend you use the Token Exchange grant type to obtain an access token for production use and use the Client Credentials grant type for testing purposes.Token Exchange grant type requires you to pass a subject_token as a parameter in the token invocation call. You can obtain a subject token (id token) by using the open_id scope. Follow the steps below to generate an access token from the IdP along with the subject token:Register the IdP in Choreo by following the steps in the section add an external IdP. Generate a token from the registered IdP with the openId scope and retrieve the id_token from the token response. {""access_token"":""<access__token>"",""refresh_token"":""<refresh_token>"",""scope"":""openid"",""id_token"":""<id_token>"",""token_type"":""Bearer"",""expires_in"":3600} Sign in to Choreo Developer Portal at https://devportal.choreo.dev. Alternatively, click the Developer Portal link on the Choreo Console header. Click Applications. In the left pane, click OAuth 2.0 Tokens. Expand the Advanced Configurations section and review the options. {.cInlineImage-half} Grant Types: The grant types used to generate the access token.",https://wso2.com/choreo/docs/consume/manage-application/,307,D1
DevOps Portal,DevOps Portal,The Choreo Console allows you to observe the basic deployment process of a Dockerfile-based component. The Choreo DevOps Portal provides a low-level Kubernetes view of the underlying data plane resources for advanced developers who want to carry out a detailed diagnosis of Choreo components. Most advanced features on the DevOps Portal are only available for private data planes.,https://wso2.com/choreo/docs/devops/devops-portal/,77,D2
Connect with Protected Third Party Applications,Connect with Protected Third Party Applications,"
When your Choreo component connects with protected third-party applications, the firewalls of these applications might block the requests of the Choreo component. To address this, you can add the following public IP ranges of Choreo that it assigns to Choreo components as client IPs to the allow list:20.22.170.144/28
20.22.170.176/28You need to add these IP ranges to the allow list when you develop components that connect to external databases (e.g., MySQL, MSSQL, PGSQL, Oracle DB, etc.) via connectors (e.g., MySQL DB connector). Doing so allows Choreo to create a secure connection.",https://wso2.com/choreo/docs/reference/connect-with-protected-third-party-applications/,148,D3
Migrate Applications to the Latest Version,Migrate Applications to the Latest Version,"The previous version of Choreo allowed you to create APIs, services, and integrations. The current version introduces the concept of creating Choreo projects with components.This section explains how to migrate the APIs, services, and integrations you created in the previous version as components to the current version.!!! attention
You need to complete the migration before the 1st of February 2022.!!! note
You can only migrate APIs, services, and integrations created before 2022.!!! infoIf you want to continue using the **previous version**, you can access it **until the 1st of February 2022** via the following URLs:
- **Choreo Console**: [https://console.deprecated.choreo.dev/](https://console.deprecated.choreo.dev/)
- **Dev Portal**: [https://devportal.deprecated.choreo.dev/](https://devportal.deprecated.choreo.dev/)
The **API access** and **API token management** remains **unchanged**.
To access the APIs, services and integrations you added in the previous version, you can use the same endpoints as before.To migrate your APIs, services, and integrations from the previous version to the current version, follow the steps below:",https://wso2.com/choreo/docs/reference/migrate-applications-to-the-latest-version/,274,D4
Quick Start Guide,Quick Start Guide,"Choreo is a full lifecycle cloud-native developer platform that enables your developers to create, deploy,  run, and govern APIs, integrations, and microservices on Kubernetes.This guide walks you through the following:Developing, deploying, testing, and publishing a REST API.
Consuming the published REST API via an external application.
Releasing a new version of the REST API with added functionality.Let's consider a use case where a web application developer designs an application that allows you to maintain reading lists. A user can create a private reading list by adding books. The user can also view and delete them when required. A Choreo developer develops a REST API for this web application to consume. The two developers will create two versions of the solution in two iterations. The second version of the application will add data persistence as a new feature.The following diagram summarizes the use case:{.cInlineImage-full}Let's get started!",https://wso2.com/choreo/docs/get-started/quick-start-guide/,199,D5
Anonymous Access,Anonymous Access,"
Choreo supports anonymous access to allow (evaluation) users to try out Choreo without having to sign in. An anonymous account is valid for seven days from the time of initial access.!!! info
- Anonymous access is solely for evaluation purposes and is not recommended for production use.
- An anonymous account expires after seven days from initial access. Therefore, we do not recommend anonymous access to Choreo on a shared computer as shared computers could posess risks such as leakage of code, credentials, and confidential information.Because Choreo discards all data of anonymous user accounts after seven days, you can sign in to Choreo using Google or GitHub to get all your data transferred to the new user account.
Once you sign in, you can continue using Choreo with your current services, integrations, and other data.",https://wso2.com/choreo/docs/reference/anonymous-access/,173,D6
Preview Features,Preview Features,"
Preview features offer early access to functionality that is not finalized by the Choreo team. You can enable if you would like to try them out during the early stages of their development.!!! info
You cannot enable preview features when you try Choreo anonymously.To enable Choreo features that are released as preview features, follow these steps:Expand the profile menu and click Feature Preview.
{.cInlineImage-full}
In the Feature Preview dialog, enable the required features.
{.cInlineImage-full}",https://wso2.com/choreo/docs/reference/preview-features/,113,D7
Connect Your GitHub Repository to Choreo,Connect Your GitHub Repository to Choreo,"Choreo allows you to connect your own GitHub repository to maintain the source code of a component when you create any Choreo components. You can create a Choreo component using a Ballerina project or a service written in any language in a Docker container. By connecting your GitHub repository, you enable collaborative development for Choreo components. Furthermore, this lets developers keep the source repository within their control and adhere to enterprise-specific best practices and development guidelines such as checking pull requests, code analysis, styling preferences, etc.This tutorial walks you through the steps to connect your own GitHub repository when creating a component. In this tutorial, you will connect your GitHub repository and use the REST API implementation in your GitHub repository to create a REST API in Choreo.",https://wso2.com/choreo/docs/develop/manage-repository/connect-your-own-github-repository-to-choreo/,155,D8
Deploy a Containerized Choreo Component,Deploy a Containerized Choreo Component,"Choreo allows you to deploy an application written in a wide range of language frameworks (for example, Java, Go, NodeJs, Python, PHP, etc.) on shared or private data planes when you create any of the following components:REST APIs
Scheduled tasks
Manual triggersThis guide walks you through the steps to deploy a sample containerized REST API component in Choreo.",https://wso2.com/choreo/docs/deploy/deploy-a-containerized-choreo-component/,82,D9
